Vocab-sound-local	Sentence-expression	Sentence-meaning
yoake to tomo ni me ga sameta n da	夜明けと共に目が覚めたんだ。	I awoke at daybreak.
nisha ga kyoudou de shinseihin wo kaihatsu shita n da	2社が共同で新製品を開発したんだ。	The two companies jointly developed a new product.
sansha goudou de shinsaku no happyoukai wo hirakimashita	3社合同で新作の発表会を開きました。	Three companies had a joint presentation for their new products.
kono hito to sono hito ha douitsu jinbutsu desu ka	この人とその人は、同一人物ですか。	Are this person and that person the same?
yuujin ha watashi ni doujou shite kureta yo	友人は私に同情してくれたよ。	My friend sympathized with me.
amerika eigo to igirisu eigo de ha akusento ga chigau koto ga aru ne	アメリカ英語とイギリス英語ではアクセントが違うことがあるね。	There can be a difference in stress between American and British English.
koremade no watashi to ha chigaun desu	これまでの私とは違うんです。	I am not the same as before.
hito ha sorezore kangaekata ga chigaimasu	人はそれぞれ考え方が違います。	People all have different ideas.
onaji taipu de iro no chigau mono ha arimasu ka	同じタイプで色の違うものはありますか。	Do you have the same type in a different color?
sumimasen hitochigai deshita	すみません、人違いでした。	I'm sorry I mistook you for someone else.
kono futatsu ni ha ooki na chigai ga aru	この二つには大きな違いがある。	There's a big difference between these two.
miiteingu no hinichi wo machigaemashita	ミーティングの日日を間違えました。	I mistook the day of the meeting.
yuugata ikou ni o denwa wo kudasai	夕方以降にお電話を下さい。	Please call me in the evening.
kore ijou zei ga agaru to seikatsu dekinai ne	これ以上税が上がると生活できないね。	If tax goes up any further, we will not be able to make a living.
izen seerusuman wo shite ita koto ga arimasu	以前、セールスマンをしていたことがあります。	I have worked as a salesman previously.
kyou ha mizu wo 2 rittoru ijou nonda wa	今日は水を2リットル以上飲んだわ。	I drank more than two liters of water today.
gaido tsuki no ryokou wo moushikonda no	ガイドつきの旅行を申し込んだの。	I signed up for a conducted tour.
gooruden'uiiku ni kaigai ryokou wo shimasu	ゴールデンウィークに海外旅行をします。	I will travel abroad during Golden Week.
itaria ryokou no hiyou ha 30 man'en desu	イタリア旅行の費用は30万円です。	The cost of the trip to Italy is 300,000 yen.
watashitachi no tabi ha hajime ha yokatta n da	私たちの旅は始めはよかったんだ。	The start of our trip was good.
sono bin ha gaikokujin no ryokaku ga ookatta yo	その便は外国人の旅客が多かったよ。	There were a lot of foreign travelers on that flight.
ryokan no choushoku ni nori ga demashita 。	旅館の朝食にのりが出ました。	Dried seaweed was served for breakfast at the inn.
yatto shukudai wo oeta	やっと宿題を終えた。	At last I have finished my homework.
ooini manabi ooini asobinasai	大いに学び、大いに遊びなさい。	Study hard, play hard.
itsudemo kigaru ni asobi ni kite kudasai	いつでも気軽に遊びに来て下さい。	Please feel free to stop by any time.
shukudai wo sumasete kara asobinasai 。	宿題を済ませてから遊びなさい。	Play after you finish doing your homework.
kodomotachi ga ikiikito asonde iru ne	子供たちが生き生きと遊んでいるね。	The kids are playing vigorously.
otona mo kodomo mo mazatte asonda no	大人も子供も交ざって遊んだの。	Adults and children played together.
yuushoku ni wafuu pasuta wo tsukutta yo	夕食に和風パスタを作ったよ。	I made Japanese-style pasta for supper.
watashi ha washoku ga suki desu	私は和食が好きです。	I like Japanese food.
kono kyoku wo kiku to kimochi ga yawaragimasu	この曲を聞くと気持ちが和らぎます。	When I hear this tune, I feel at ease.
ano uchi no toire ha washiki desu	あの家のトイレは和式です。	The toilet in that house is Japanese style.
watashi ha youfuu no ie ni sunde imasu	私は洋風の家に住んでいます。	I live in a Western-style house.
watashi ha shuu ni 3 bon youga wo mimasu	私は週に3本洋画を見ます。	I watch three foreign films a week.
kinou no bangohan ha youshoku deshita	昨日の晩御飯は洋食でした。	Last night's dinner was Western food.
watashi no gakkou ni ha seifuku ga arimasen	私の学校には制服がありません。	There is no uniform in my school.
kono fuku ha jouge setto de kaimashita	この服は上下セットで買いました。	I bought these clothes as a top and bottoms set.
kono fuku watashi ni ha yaya chiisai mitai	この服、私にはやや小さいみたい。	It looks like these clothes are a little small on me.
kono fuku ha anata ni pittari desu ne	この服はあなたにぴったりですね。	These clothes suit you perfectly.
fuku ga ame de bishobisho ni natta yo	服が雨でびしょびしょになったよ。	My clothes got soaked in the rain.
kono fuku ha ooki sugite dabudabu desu	この服は大き過ぎてだぶだぶです。	These clothes are too big and baggy.
ame no hi ha kodomo wo shitsunai de asobasemasu	雨の日は子供を室内で遊ばせます。	I have the kids play indoors on rainy days.
machiaishitsu ha totemo konde ita yo	待合室はとても込んでいたよ。	The waiting room was very crowded.
kono teeburu ha youshitsu ni awanai	このテーブルは洋室に合わない。	This table is not suited to a Western-style room.
mado no soto ni suiden ga hirogatte ita yo	窓の外に水田が広がっていたよ。	A sweep of rice field appeared outside the window.
madogarasu ni hibi ga haitta yo	窓ガラスにひびが入ったよ。	There's a crack in the window pane.
chichi no shujutsu ga buji ni sumimashita	父の手術が無事に済みました。	My father's operation came off without a hitch.
chichi ha jounetsu wo motte shigoto ni uchikonde imasu	父は情熱を持って仕事に打ち込んでいます。	My father is devoting himself to work with zeal.
chichi no ibiki ha ookii n da	父のいびきは大きいんだ。	My father snores loudly.
watashi no chichi ha daiku desu	私の父は大工です。	My father's a carpenter.
chichi ga ryohi wo dashite kuremashita	父が旅費を出してくれました。	My father paid for my travel expenses.
chichi ga nagai tegami wo yokoshita yo	父が長い手紙をよこしたよ。	My father sent a long letter.
haha no teryouri wo yukkuri ajiwaimashita	母の手料理をゆっくり味わいました。	I took my time savoring my mother's homemade cooking.
haha ha mainichi tekipaki to kaji wo shite iru yo	母は毎日てきぱきと家事をしているよ。	My mother zips through housework every day.
tsuki ni ichido haha kara tayori ga kimasu	月に一度母から便りが来ます。	I get a letter from my mother once a month.
jikka no haha kara denpou ga kimashita	実家の母から電報が来ました。	A telegram came from my mother at home.
haha ga denwa de nagabanashi wo shite iru n da	母が電話で長話をしているんだ。	My mother is having a long talk on the telephone.
haha ha itsumo watashi no mikata desu	母はいつも私の味方です。	My mother always looks out for me.
goshinsetsu ha kesshite wasuremasen	ご親切は決して忘れません。	I will never forget your kindness.
shinrui no ie ni yonenkan geshuku shimashita	親類の家に4年間下宿しました。	I boarded at a relative's house for four years.
kirisuto no hahaoya no namae ha maria da	キリストの母親の名前はマリアだ。	Christ's mother's name is Maria.
onna no ko ha hanashikata made hahaoya ni niru wa ne	女の子は話し方まで母親に似るわね。	The girl even talks like her mother.
ano oyako ha sokkuri da ne	あの親子はそっくりだね。	That parent and child look alike.
koko no suizokukan ni ha iruka ga imasu	ここの水族館にはイルカがいます。	There is a dolphin in the aquarium here.
depaato no saimatsu oouridashi ga hajimatta yo	デパートの歳末大売出しが始まったよ。	Year-end sales have begun at the department stores.
watashi no papa ha 36 sai desu	私のパパは36歳です。	My dad is 36 years old.
ane to watashi ha fuku no konomi ga nite imasu	姉と私は服の好みが似ています。	My elder sister and I have the same taste in clothes.
ane ha daigaku ni zaigaku shite imasu	姉は大学に在学しています。	My elder sister studies at university.
ane ha sutando no shita de hon wo yonde ita n da	姉はスタンドの下で本を読んでいたんだ。	My elder sister was reading a book by the desk lamp.
ane ha yoku tabi wo shimasu	姉はよく旅をします。	My big sister often travels.
uchi ha sannin shimai desu	うちは3人姉妹です。	There are three girls in my family, myself and two sisters.
fukei no katagata ha kochira he douzo	父兄の方々はこちらへどうぞ。	This way please, parents.
kinou otouto to kuchigenka shimashita	きのう、弟と口げんかしました。	I quarreled with my younger brother yesterday.
watashi ni ha shigoto ga daiichi desu	私には仕事が第一です。	My first priority is my job.
musume ha shiritsu no gakkou ni kayotte imasu	娘は市立の学校に通っています。	My daughter goes to a municipal school.
musume ha yoku watashi no mane wo shimasu	娘はよく私のまねをします。	My daughter often copies me.
kyuusoku wo toru koto ha taisetsu desu	休息をとることは大切です。	It's important to take breaks.
musuko ha gakkou de yomikaki wo benkyou shite imasu	息子は学校で読み書きを勉強しています。	My son studies reading and writing at school.
musuko ha mokka benkyouchuu desu	息子は目下勉強中です。	My son is in the middle of studying.
watashi no musuko ha hidarikiki desu	私の息子は左利きです。	My son is left-handed.
wakamonotachi ha enerugii ni afurete imasu ne	若者たちはエネルギーにあふれていますね。	Young people are always full of energy.
futari no sousha ha douji ni gooru shita yo	二人の走者は同時にゴールしたよ。	The two runners reached the goal at the same time.
sousha ga tsugitsugini gooru shimashita	走者が次々にゴールしました。	Runners reached the goal one after another.
wakamono ha tairyoku ga arimasu ne	若者は体力がありますね。	Young people have a lot of stamina.
nichiyoubi ha kono toori ga hokoushatengoku ni narimasu	日曜日はこの通りが歩行者天国になります。	This street is turned into a vehicle-free promenade on Sundays.
watashi ha sakihodo denwa shita mono desu	私は先ほど電話した者です。	I'm the person who called a while earlier.
kanojo ha intaanetto wo katsuyou shite iru no	彼女はインターネットを活用しているの。	She makes use of the Internet.
kare no koudou ha rikai dekinai	彼の行動は理解できない。	I can't understand his conduct.
kare ha eigyou wo tantou shiteimasu 。	彼は営業を担当しています。	He is in charge of sales.
izen kare ha kono machi ni sunde ita n da	以前彼はこの町に住んでいたんだ。	He used to live in this town.
kare ha kaisha no juuyou na jinbutsu desu	彼は会社の重要な人物です。	He is an important person in the company.
kare ha jinji wo tantou shite iru n da	彼は人事を担当しているんだ。	He is in charge of personnel affairs.
kanojo ha kurabu no kaiin desu	彼女はクラブの会員です。	She's a member of the club.
watashi ha kare to onaji sedai desu	私は彼と同じ世代です。	I am of the same generation as him.
kanojo ha shokuji wo seigen shite imasu	彼女は食事を制限しています。	She is restricting her diet.
kanojo no yousu ga itsumo to chigau	彼女の様子がいつもと違う。	She looks different than usual.
kare no kaisha ha iten shita yo	彼の会社は移転したよ。	His company relocated.
kare ha sakka de ari gakusha desu	彼は作家であり学者です。	He is a writer and a scholar.
sore irai kanojo ni attenai	それ以来彼女に会ってない。	I haven't met her since then.
kanojo ha yuumei na sakka desu	彼女は有名な作家です。	She is a well-known writer.
kanojo ha saikin genki ga nai desu ne	彼女は最近元気がないですね。	She has been in low spirits recently.
kare ha jikken wo kokoromita no yo	彼は実験を試みたのよ。	He tried the experiment.
kanojo ha kyouto no umare desu	彼女は京都の生まれです。	She was born in Kyoto.
kare ha bijinesukurasu ni notta no	彼はビジネスクラスに乗ったの。	He traveled business class.
kare ni aeba kare ga ikani ii hito ka wakarimasu	彼に会えば、彼がいかに良い人か分かります。	If you met him you'd realize what a nice person he is.
kanojo ha shokku de kuchi mo kikenakatta wa	彼女はショックで口もきけなかったわ。	She was too shocked to speak.
kanojo ha yuunou na jaanarisuto da	彼女は有能なジャーナリストだ。	She is an able journalist.
kanojo ha moderu no you ni sutairu ga ii ne	彼女はモデルのようにスタイルがいいね。	With her good figure, she looks like a model.
kanojotachi ha sorezore kosei ga tsuyoi desu ne	彼女たちはそれぞれ個性が強いですね。	Each of those women has a strong personality.
kanojo ha rajiokyoku de hataraite imasu	彼女はラジオ局で働いています。	She works for a radio station.
kare ha koukou no kyouin desu	彼は高校の教員です。	He's a high school teacher.
kare ha kazukazu no meisaku wo umidashita	彼は数々の名作を生み出した。	He produced a number of masterpieces.
kare ga ii aidea wo dashita ne	彼がいいアイデアを出したね。	He came up with a good idea.
kare ha ikanimo supootsuman rashii desu ne	彼はいかにもスポーツマンらしいですね。	He indeed looks like a sportsman.
kare ha ikken sarariimanfuu desu ne	彼は一見サラリーマン風ですね。	He looks like a businessman at a glance.
kare ha wakai no ni shikkari shiteru ne	彼は若いのにしっかりしてるね。	He is reliable even though he is young.
kare ha kyou haitta bakari no shinjin desu	彼は今日入ったばかりの新人です。	He is a newcomer who just started today.
kare ha kyuujin koukoku de shigoto wo mitsuketa n da	彼は求人広告で仕事を見つけたんだ。	He found a job through a recruiting ad.
kanojo ha onna no ko wo shussan shita n da	彼女は女の子を出産したんだ。	She gave birth to a girl.
kare ha sono toki sutaa datta yo 。	彼はその時スターだったよ。	He was a star at the time.
kare ha arukooru ni tsuyoi taishitsu desu	彼はアルコールに強い体質です。	He has a disposition to hold his liquor.
kare ha watashi yori hito gakunen ue desu	彼は私より一学年上です。	He's one year above me in school.
kare no jakuten ha sutamina ga tarinai tokoro desu	彼の弱点はスタミナが足りないところです。	His weakness is that he lacks stamina.
kare ha daigaku de kougaku wo benkyou shimashita	彼は大学で工学を勉強しました。	He studied engineering in college.
kare ha yatto houkokusho wo shiageta yo	彼はやっと報告書を仕上げたよ。	He finally finished up the report.
kare ha suteeji ni tatta yo	彼はステージに立ったよ。	He stood on the stage.
kare no adobaisu ha itsumo arigatai wa ne	彼のアドバイスはいつも有り難いわね。	His advice is always welcome.
kare ha watashi no shinyuu desu	彼は私の親友です。	He is a close friend.
kare ha amachua ongakuka desu	彼はアマチュア音楽家です。	He is an amateur musician.
kanojo ha gogakuryoku wo shigoto ni ikashite iru ne	彼女は語学力を仕事に生かしているね。	She takes advantage of her language ability in her work.
kanojo ha seikaku ga kitsui yo ne	彼女は性格がきついよね。	She has a strong personality.
kare ha kenkyuu ni uchikonde imasu	彼は研究に打ち込んでいます。	He is dedicated to his research.
kare ha kouhou no zaseki ni tsuita no	彼は後方の座席に着いたの。	He sat down on a rear seat.
kanojo ha eibun no tegami wo kakimashita	彼女は英文の手紙を書きました。	She wrote an English letter.
kanojo no itte iru koto ga sappari wakaranai no	彼女の言っていることがさっぱり分からないの。	I can't understand what she says at all.
kare ha ganrai majime na hito desu	彼は元来、真面目な人です。	He is essentially a serious person.
kare ha shusse suru taipu da na	彼は出世するタイプだな。	He is the successful type.
kanojo ha kossori daietto wo hajimeta no	彼女はこっそりダイエットを始めたの。	She started dieting in secret.
kono haru ni kare ha shakaijin ni natta yo	この春に彼は社会人になったよ。	He became a working adult this spring.
kare kara omoigakenai koto wo kiita	彼から思いがけないことを聞いた。	I heard something unexpected from him.
kare ha asa kara ban made sesseto hataraita no	彼は朝から晩までせっせと働いたの。	He worked hard from morning till night.
kare ha kiryoku ni afurete imasu ne	彼は気力にあふれていますね。	He really has energy to spare.
kare ha ichiichi watashi ni sashizu suru	彼はいちいち私に指図する。	He gives me instructions on everything.
kare ha un no ii otoko desu	彼は運のいい男です。	He is a lucky man.
kanojo ha ki ga kiite iru	彼女は気が利いている。	She's very thoughtful.
kare ha kenritsu no koukou ni kayotte iru yo	彼は県立の高校に通っているよ。	He goes to the prefectural high school.
kare no hanashi ha itsumo oobaa desu	彼の話はいつもオーバーです。	His story is always exaggerated.
kare ha jinsei no shinri wo motomete tabi ni deta	彼は人生の真理を求めて旅に出た。	He went on a journey in search of the true meaning of life.
kanojo ha kurashikku ongaku ga suki desu	彼女はクラシック音楽が好きです。	She likes classical music.
kare no hanashi ha oogesa da	彼の話は大げさだ。	His story is exaggerated.
kare ha keizai gakubu no gakusei desu	彼は経済学部の学生です。	He is a student in the Department of Economics.
kare no musuko ga iede shita sou yo	彼の息子が家出したそうよ。	I hear that his son left home.
kanojo ha ikebana no sensei desu	彼女は生け花の先生です。	She is a flower arrangement teacher.
kanojo ha infuruenza ni kakatte imasu ne	彼女はインフルエンザにかかっていますね。	She has come down with the flu.
kare ha itsumo jiipan wo haite iru ne	彼はいつもジーパンをはいているね。	He always wears jeans.
kare ha ooki na nimotsu wo katsuide kita no	彼は大きな荷物を担いで来たの。	He came carrying large luggage.
kanojo ha terebi no komaasharu ni dete iru wa	彼女はテレビのコマーシャルに出ているわ。	She is appearing in a TV commercial.
kare ha saikyou chiimu no ichiin desu	彼は最強チームの一員です。	He is a member of the strongest team.
kanojo ha wakamono no aidoru desu	彼女は若者のアイドルです。	She is a youth icon.
kare ha tokidoki imouto wo karakaimasu	彼は時々妹をからかいます。	He sometimes makes fun of his younger sister.
kare ni ha kashi ga aru no	彼には貸しがあるの。	He owes me one.
kare ha gonin kyoudai no suekko desu	彼は5人兄弟の末っ子です。	He is the youngest of five siblings.
kare ha ekichou desu	彼は駅長です。	He is a stationmaster.
kare ni shokuji wo ogotte moratta	彼に食事をおごってもらった。	He bought me a meal.
kanojo no ichiban no tanoshimi ha shoppingu desu	彼女のいちばんの楽しみはショッピングです。	Her greatest pleasure is shopping.
kare ha itsumo sumaato ni koudou suru ne	彼はいつもスマートに行動するね。	He always acts sophisticatedly.
kanojo ha itsumo kikite ni mawaru ne	彼女はいつも聞き手にまわるね。	She always turns to the listener.
kare ha sangurasu ga niau ne	彼はサングラスが似合うね。	Sunglasses suit him.
kanojo ha kitchiri sanji ni kita wa	彼女はきっちり3時に来たわ。	She came at three o'clock precisely.
kanojo ha makezu ni iikaeshita no	彼女は負けずに言い返したの。	She talked back just as much.
kare ha iyarashii otoko ne	彼はいやらしい男ね。	He's a nasty man.
kare ha agura wo kaite shabette imasu ne	彼はあぐらをかいてしゃべっていますね。	He is talking while sitting cross-legged.
kanojo ha kitchin de yuushoku wo tsukutte imasu	彼女はキッチンで夕食を作っています。	She is preparing dinner in the kitchen.
kare ha kanemochi da kedo kechi ne	彼は金持ちだけど、けちね。	He is rich but stingy.
kanojo ha onnarashii	彼女は女らしい。	She's feminine.
kare ha kyuuyou de kaerimashita	彼は急用で帰りました。	He went home on urgent businness.
kanojo ha asa kara iraira shite iru	彼女は朝からいらいらしている。	She's been feeling irritated since this morning.
kare no hanashi ni watashi ha aizuchi wo utta no	彼の話に私はあいづちを打ったの。	I chimed in as he spoke.
sore ha kanojo no kitai no araware desu	それは彼女の期待の現れです。	It is a manifestation of her expectations.
kare ha uwasa wo uchikeshita wa yo	彼はうわさを打ち消したわよ。	He denied the rumor.
kare no adana ha 「 riki 」 desu 。	彼のあだなは「りき」です。	"His nickname is ""Ricky."""
saikin kare no tokoro ni ikiki shite nai no	最近彼のところに行き来してないの。	I haven't been to his place lately.
kare ha itsunomani inaku natta no	彼はいつのまにいなくなったの。	When did he leave?
kare ha ueshita osoroi no fuku wo kiteimasu ne 。	彼は上下おそろいの服を着ていますね。	He is wearing a matching top and bottom.
kare ha utsumuite nanika wo kangaete iru ne	彼はうつむいて何かを考えているね。	He is thinking of something with his head down.
kare ha hito wo odateru no ga jouzu desu	彼は人をおだてるのが上手です。	He is good at flattering people.
kare ha mizu wo gabugabu nonda n da	彼は水をがぶがぶ飲んだんだ。	He gulped down the water.
kare ha tomodachi ni shakkin wo shita n da	彼は友達に借金をしたんだ。	He borrowed money from a friend.
watashi ha tada kanojo to hanashitakatta dake desu	私はただ彼女と話したかっただけです。	I just wanted to speak with her.
kanojo no shigoto ha deeta no nyuuryoku desu	彼女の仕事はデータの入力です。	Her job is inputting data.
kanojo ha 2 sai no ko no hahaoya desu	彼女は2才の子の母親です。	She's the mother of a two-year-old kid.
kare ha ashita mekishiko he tachimasu	彼は明日メキシコへ発ちます。	He will leave for Mexico tomorrow.
kanojo no yousu wo mite kimasu	彼女の様子を見てきます。	I'm going to see how she's doing.
kare ha koukou jidai kara no yuujin desu	彼は高校時代からの友人です。	He's my old friend from high school.
kare no chichioya ha sensei desu 。	彼の父親は先生です。	His father is a teacher.
watashi ha kare no yarikata ni ha fuman desu	私は彼のやり方には不満です。	I'm dissatisfied with his way of doing things.
kare ha chiimu no ichiin desu	彼はチームの一員です。	He's a member of the team.
kare ha bijinesukurasu ni notta no	彼はビジネスクラスに乗ったの。	He traveled business class.
kare ha ryokou no chokuzen ni netsu ga deta no	彼は旅行の直前に熱が出たの。	He got a fever just before going on holiday.
kare ha yuunou na chiji ne	彼は有能な知事ね。	He's a capable governor.
kare ha marude kodomo no you ni hashaida yo	彼はまるで子供のようにはしゃいだよ。	He froliced just like a kid.
watashi to kare ha onaji nendai desu	私と彼は同じ年代です。	He and I are the same generation.
kare ha toshin ni sunde imasu	彼は都心に住んでいます。	He lives downtown.
kanojo ha 4 nenkan nesshin ni benkyou shita wa	彼女は4年間熱心に勉強したわ。	She studied hard for four years.
kare ha dai no sakkaafan desu	彼は大のサッカーファンです。	He's a huge soccer fan.
kare ha mukashi doitsu no taishi deshita	彼は昔、ドイツの大使でした。	He was ambassador to Germany a long time ago.
kare ha naganen no yuujin desu	彼は長年の友人です。	He's an old friend of mine.
kare no koto wo minaoshimashita	彼のことを見直しました。	I changed my opinion of him.
kare ha tokai de no seikatsu wo tanoshinde iru no	彼は都会での生活を楽しんでいるの。	He's enjoying city life.
kare ha 30 dai no nakaba desu	彼は30代の半ばです。	He's in his mid-thirties.
kare ha baishuu sareta rashii wa	彼は買収されたらしいわ。	He was bribed, apparently.
kare ha sukeeto no puro desu	彼はスケートのプロです。	He's a professional skater.
kare ha sakunen nyuusha shita no	彼は昨年入社したの。	He joined the company last year.
kare ha atarashii aidea wo sugu toriiremasu	彼は新しいアイデアをすぐ取り入れます。	He's quick to adopt new ideas.
kare ha megane wo hazushimashita	彼はメガネを外しました。	He removed his glasses.
kare ha kyuu ni tachiagatta no	彼は急に立ち上がったの。	He suddenly stood up.
kanojo ha chuusei no ongaku ga suki desu	彼女は中世の音楽が好きです。	She likes medieval music.
kare ha migoto na janpu wo miseta ne	彼は見事なジャンプを見せたね。	He showed us a splendid jump.
kanojo ha e ga nakanaka jouzu desu	彼女は絵がなかなか上手です。	She's pretty good at painting.
kanojo ni ha higoro kara osewa ni natte imasu	彼女には日ごろからお世話になっています。	I'm indebted to her since she helps me on a daily basis.
kare ha pairotto desu	彼はパイロットです。	He's a pilot.
kare no ie ha hito no deiri ga ooi ne	彼の家は人の出入りが多いね。	There are a lot of people going in and out his house.
kare ha beteran no untenshu desu	彼はベテランの運転手です。	He's an experienced driver.
kare ha ima furi na tachiba ni imasu	彼は今、不利な立場にいます。	He's at a disadvantage now.
kare ha shigoto no honshitsu wo yoku rikai shite iru wa ne	彼は仕事の本質をよく理解しているわね。	He understands the essence of the work well.
kare ha totemo hayai peesu de hashitte iru ne	彼はとても早いペースで走っているね。	He's running at a very fast pace.
kare ha marason ni shutsujou shita yo	彼はマラソンに出場したよ。	He participated in the marathon.
kanojo ha hongoku ni kaerimashita	彼女は本国に帰りました。	She returned to her native land.
kare ha mainichi toreeningu wo suru no	彼は毎日トレーニングをするの。	He works out every day.
kare ha hougen de hanashimasu	彼は方言で話します。	He speaks in a dialect.
kanojo ha toubun gakkou wo yasumu sou desu	彼女は当分学校を休むそうです。	It seems she'll be absent from the school for some time.
kanojo to ryokou no puran wo kangaemashita	彼女と旅行のプランを考えました。	I thought of a travel plan with her.
kanojo ha maiku wo motte hanashihajimeta no	彼女はマイクを持って話し始めたの。	She took the microphone and began to speak.
kanojo ha musuko wo hikitotta no	彼女は息子を引き取ったの。	She took custody of her son.
kare ha tooku wo bonyari mite ita no	彼は遠くをぼんやり見ていたの。	He stared vacantly into the distance.
kare ha touyoubunka wo kenkyuu shite iru yo	彼は東洋文化を研究しているよ。	He researches Asian culture.
kanojo ha gaikokujin ni majitte dansu wo shita no	彼女は外国人に交じってダンスをしたの。	She mingled with foreigners as she danced.
kare ha sono sofutouea wo tameshita no	彼はそのソフトウェアを試したの。	He tested the software.
watashi to kare ha kaeru hougaku ga onaji desu	私と彼は帰る方角が同じです。	He and I go home in the same direction.
kanojo ha hougakubu no gakusei desu	彼女は法学部の学生です。	She's a student in the Law Department.
kanojo ha yuttari shita fuku wo kite imasu ne	彼女はゆったりした服を着ていますね。	She's wearing baggy clothes.
shinbun no midashi ga kare no me wo hiita n da	新聞の見出しが彼の目を引いたんだ。	The newspaper article drew his attention.
kanojo ha yuumoa no sensu ga arimasu 。	彼女はユーモアのセンスがあります。	She has a sense of humor.
kanojo ha mukuchi na hito desu ne	彼女は無口な人ですね。	She's a silent person.
kare ha tarento na no de yoku terebi ni dete imasu	彼はタレントなのでよくテレビに出ています。	Since he's a celebrity, he often appears on TV.
kare ha tamani ryouri wo shimasu	彼はたまに料理をします。	He cooks occasionally.
kanojo ha wafuku ga yoku niau	彼女は和服がよく似合う。	Traditional Japanese clothes suit her well.
kanojo ha naishin dokidoki shite imashita yo	彼女は内心どきどきしていましたよ。	Inside, her heart was pounding.
kanojo ha totemo yuunou na buka desu	彼女はとても有能な部下です。	She's a very capable subordinate.
kare ha totemo taikaku ga ii wa	彼はとても体格がいいわ。	He has a very nice body.
kare ha wazato maketa you ni mieta na	彼はわざと負けたように見えたな。	It looked like he lost on purpose.
kare nara tokkuni kaerimashita yo	彼ならとっくに帰りましたよ。	He's already gone home.
kanojo ha shiroi wanpiisu wo kite ita yo	彼女は白いワンピースを着ていたよ。	She was wearing a white dress.
sore ha kanojo ga tsukuriageta hanashi desu	それは彼女が作り上げた話です。	It's a story that she made up.
kare kara tabitabi meeru ga kimasu	彼から度々メールが来ます。	I often get email from him.
kare ha puraido ga takai hito desu	彼はプライドが高い人です。	He's a proud person.
kare ha omanjuu wo hitokuchi de tabeta no	彼はおまんじゅうを一口で食べたの。	He ate the sweet bun in one mouthful.
kanojo no unten ga mazukute harahara shita	彼女の運転がまずくて、はらはらした。	I felt uneasy since her driving was so bad.
sugu ni akiramete shimau no ga kare no tansho desu	すぐにあきらめてしまうのが彼の短所です。	His weak point is that he gives up too easily.
kare ha kusuri wo ikkini nomikonda	彼は薬を一気に飲み込んだ。	He swallowed all of the medicine in one go.
kare ha hige wo hayashite imasu	彼はヒゲを生やしています。	He's growing a beard.
kare ha yuumei na bungakusha desu	彼は有名な文学者です。	He's a famous literati.
kare ha sukoshi yowaki ni natte imasu	彼は少し弱気になっています。	He's getting a little timid.
kanojo ha patto me wo hiraita	彼女はぱっと目を開いた。	She suddenly opened her eyes.
watashi to kare ga deatta no ha hitsuzen datta no	私と彼が出会ったのは必然だったの。	It was inevitable that he and I should meet.
hyottoshitara kare ha sono koto wo shiranai no kamo shirenai	ひょっとしたら彼はそのことを知らないのかもしれない。	Perhaps he might not know that.
kare ha sono e wo zutto mitsumeteita no 。	彼はその絵をずっと見つめていたの。	He was gazing at that painting for a long time.
kare ha meue no hito ni totemo ki wo tsukaimasu	彼は目上の人にとても気を使います。	He's very respectful of his seniors.
kare ga kono guruupu de ichiban nenchou desu	彼がこのグループで一番年長です。	He's the most senior in this group.
kare wo minaratte motto benkyou shimasu	彼を見習ってもっと勉強します。	I'll follow his example and study harder.
kare ha munou da	彼は無能だ。	He's incapable.
kanojo ha sukaato yori pantsu ga niau ne	彼女はスカートよりパンツが似合うね。	She looks better in pants than in a skirt.
kare ha mayonaka ni kaette kita no	彼は真夜中に帰ってきたの。	He came back at midnight.
kanojo ha kimono ga yoku niaimasu	彼女は着物がよく似合います。	Kimonos suit her well.
kare no ie no toire ha youshiki desu	彼の家のトイレは洋式です。	His house has a Western-style toilet.
kanojo ha totemo wakawakashii hito desu	彼女はとても若々しい人です。	She's a very youthful person.
kare ha tanki na hito desu	彼は短気な人です。	He's a short-tempered person.
kare ha chanpion no taitoru wo torikaeshita ne	彼はチャンピオンのタイトルを取り返したね。	He took back the championship title.
karera ha nagoyaka ni shokuji wo shita	彼らは和やかに食事をした。	They ate peacefully.
kare no ji ni nisete kakimashita	彼の字に似せて書きました。	I wrote it by imitating his handwriting.
kanojo ha nikkori hohoenda	彼女はにっこりほほえんだ。	She smiled broadly.
kare to shinjuku de machiawasemashita	彼と新宿で待ち合わせました。	I met him in Shinjuku.
kanojo ha nande konain darou	彼女は何で来ないんだろう。	I wonder why she hasn't come.
kare ha negiru no ga jouzu desu	彼は値切るのが上手です。	He's good at haggling.
kanojo ha motomoto furansu ni iku tsumori datta no	彼女は元々フランスに行くつもりだったの。	She was planning to go to France originally.
minna ga kare no yubisasu hou wo mitanda	みんなが彼の指差す方を見たんだ。	Everyone looked in the direction he pointed.
tossa ni kare no namae ga detekonakatta 。	とっさに彼の名前が出てこなかった。	I couldn't remember his name momentarily.
mikka ni 1 do no wari de kare kara meeru ga kuru no	3日に1度の割りで彼からメールが来るの。	I get e-mails from him at a rate of once every three days.
kare ha fudousan no baibai wo shite imasu	彼は不動産の売買をしています。	He buys and sells real estate.
kanojo ha machihazure no koujou de hataraite iru yo	彼女は町外れの工場で働いているよ。	She's working in a factory on the outskirts of town.
