Vocab-sound-local	Sentence-expression	Sentence-meaning
kakei no shuushi ga awanai no	家計の収支が合わないの。	The household income and expenses do not match.	1
shitaku ga dekitara dekakemashou	支度ができたら出かけましょう。	Let's go out when we are ready.	1
kauntaa de ryoukin wo shiharatta	カウンターで料金を支払った。	I paid the fee at the counter.	1
oshiharai ha kaado mo o tsukai itadakemasu	お支払いはカードもお使いいただけます。	You can also pay by credit card.	1
mada ryoukin ha haratte inai kedo	まだ料金は払っていないけど。	But I haven't paid the charge yet.	1
koutsuuhi ha meimei shiharatte kudasai	交通費はめいめい支払ってください。	Please pay the fare individually.	1
nomiya no harai ga tamatte iru n da	飲み屋の払いがたまっているんだ。	I'm running up a bar bill.	1
furyouhin wo henpin shita yo	不良品を返品したよ。	I returned the defective product.	1
ame ga tsuyokatta no de hikikaeshita yo	雨が強かったので引き返したよ。	I turned back because it was raining heavily.	1
kono kari ha kanarazu kaeshimasu	この借りは必ず返します。	I will definitely pay it back.	1
shakkin ni rishi wo tsukete kaeshita no	借金に利子をつけて返したの。	He returned the debt with interest.	1
sono hon ha kashidashi shite imasen	その本は貸し出ししていません。	That book can't be checked out.	1
korekara pasupooto no shinsei ni ikimasu	これからパスポートの申請に行きます。	I am now going to apply for my passport.	1
getsumatsu made ni moushikomisho wo okutte kudasai	月末までに申込書を送ってください。	Please send the application form by the end of the month.	2
densha ga gyuugyuu ni konde imasu ne	電車がぎゅうぎゅうに込んでいますね。	The train is jam-packed.	1
nenmatsu no seeru ha itsumo konde iru ne	年末のセールはいつも込んでいるね。	The year-end sale is always crowded.	1
kyou supootsujimu no moushikomi wo shimashita	今日、スポーツジムの申し込みをしました。	I signed up for the sports gym today.	1
kuruma ga mae ni warikonde kita	車が前に割り込んできた。	A car cut in front of me.	1
watashi ha hitogomi ga suki de ha arimasen	私は人込みが好きではありません。	I don't like crowds.	1
zenki no uriage ha totemo yokatta wa	前期の売上はとても良かったわ。	Sales during the first term were very good.	1
ashita kara 2 shuukan tanki no arubaito wo shimasu	明日から2週間、短期のアルバイトをします。	For two weeks starting tomorrow, I'm doing a short stint as a part-time worker.	1
kigen made ni moushikomimashita	期限までに申し込みました。	I signed up before the deadline.	1
monogoto ni ha gendo ga arimasu	物事には限度があります。	Every matter has its limit.	1
ooisogi de sono shigoto wo shiageta yo	大急ぎでその仕事を仕上げたよ。	I finished up the work in a rush.	1
furoa ha paateishon de kugirarete imasu	フロアはパーティションで区切られています。	The floor has been divided by a partition.	1
ikimono wo taisetsu ni shimashou	生き物を大切にしましょう。	Let's care about living things.	1
kome ha ajia de ha taisetsu na sakumotsu da	米はアジアでは大切な作物だ。	Rice is an important crop in Asia.	1
ningen ni totte mizu ha shokumotsu yori taisetsu nano	人間にとって水は食物より大切なの。	For human beings water is more important than food.	1
kono gakkou de ha hitorihitori no seito wo taisetsu ni shite iru no	この学校では一人一人の生徒を大切にしているの。	Each individual student is valued in this school.	1
kono painappuru wo kitte kudasai	このパイナップルを切ってください。	Please cut up this pineapple.	1
nyuujouken wo o mochi desu ka	入場券をお持ちですか。	Do you have an admission ticket?	1
basu no kaisuuken wo kaimashita	バスの回数券を買いました。	I bought a strip of tickets for the bus.	1
nyuujouken ha toujitsu de mo kaemasu yo	入場券は当日でも買えますよ。	You can buy admission tickets on the same day.	1
konsaato no maeuriken wo te ni ireta n da	コンサートの前売り券を手に入れたんだ。	I got an advance ticket for the concert.	1
sanninbun no daikin ha kei rokusen'en desu	3人分の代金は計6000円です。	The cost for three people is 6000 yen in total.	1
daikin wo kijitsu made ni oshiharai kudasai	代金を期日までにお支払いください。	Please pay the charge by the due date.	1
basudai ga neage saremashita	バス代が値上げされました。	Bus fares were raised.	1
koko de daikin wo o shiharai kudasai	ここで代金をお支払いください。	Please pay the bill here.	1
tokei ga juuniji wo sashite ru	時計が12時を指してる。	The clock points to 12 o'clock.	1
koyubi wo kitte shimaimashita	小指を切ってしまいました。	I cut my little finger.	1
watashi ha ryourinin wo mezashite imasu	私は料理人を目指しています。	I intend becoming a cook.	1
kaichou ha tanakashi ni kettei	会長は田中氏に決定。	It has been decided that Mr. Tanaka will be chairman.	1
kono hon no teika ha 525 en desu	この本の定価は525円です。	The regular price of this book is 525 yen.	1
teika kara 2 sen'en waribikimasu yo	定価から2000円割り引きますよ。	I'll deduct 2000 yen from the recommended retail price.	1
kono mise ha suiyou ga teikyuubi desu	この店は水曜が定休日です。	This shop is closed on Wednesdays.	1
gogo ha gaishutsu no yotei desu	午後は外出の予定です。	I plan to go out this afternoon.	1
raishuu no yotei wo uchiawasemashou	来週の予定を打ち合わせましょう。	Let's discuss next week's schedule.	1
kuruma no hiyou、 yosan oobaa da	車の費用、予算オーバーだ。	The car expenses are over budget.	1
yohou de ha ashita ha ame desu ne	予報では明日は雨ですね。	It will rain tomorrow according to the forecast.	1
yoyaku wo kyanseru shita yo	予約をキャンセルしたよ。	I canceled the reservation.	1
hoteru no yoyaku wo torikeshita yo	ホテルの予約を取り消したよ。	I canceled our hotel reservation.	1
semete kore dake ha yakusoku shite kudasai 。	せめてこれだけは約束してください。	Please promise only this at least.	1
kore ha hitotaba de 300 en desu	これは一束で300円です。	These are 300 yen a bunch.	1
korekara ha keiei no gourika wo hakaritai to omoimasu	これからは経営の合理化を図りたいと思います。	From now on I want to attempt to streamline management.	1
yotei ga henkou ni narimashita	予定が変更になりました。	The schedule has been changed.	1
saikin no kodomo tachi ha yofukashi desu	最近の子供たちは夜更かしです。	These days children stay up till late.	1
saikin yoga wo yaru hito ga kyuuzou shite imasu	最近ヨガをやる人が急増しています。	Recently, there's been a sudden rise in the number of people doing yoga.	1
ooame de kawa no mizukasa ga mashite iru na	大雨で川の水かさが増しているな。	The river swells because of the downpour.	1
seisan kosuto zoudai no tame neage shimasu	生産コスト増大のため、値上げします。	Prices are rising because production costs are increasing.	1
toukyou no jinkou ha nennen fuete imasu	東京の人口は年々増えています。	The population of Tokyo increases year by year.	1
kono kuni ha jinkou ga genshou shite iru wa ne	この国は人口が減少しているわね。	The population of this country is decreasing.	1
saikin ha terebi wo miru kaisuu ga herimashita	最近はテレビを見る回数が減りました。	I watch TV less frequently these days.	1
kono suunen taijuu ha zougen shite imasen	この数年、体重は増減していません。	My weight has not increased or decreased for several years.	1
saikin shokuji no ryou wo herashite imasu	最近、食事の量を減らしています。	Lately, I'm cutting down how much food I eat.	1
joushaken ha nakusanai you ni	乗車券は無くさないように。	Do not lose the ticket.	1
ano eki de gakusei ga takusan norikonda ne	あの駅で学生がたくさん乗り込んだね。	A lot of students got on board at that station.	1
watashi ha maiasa rasshu no densha ni notte imasu	私は毎朝ラッシュの電車に乗っています。	I take the train during rush hour every morning.	1
kakuchi de ooame ga futte imasu	各地で大雨が降っています。	Heavy rain is falling in all regions.	1
kakuchi de ooame ga futte imasu	各地で大雨が降っています。	Heavy rain is falling in all regions.	1
imanimo ame ga furisou desu ne	今にも雨が降りそうですね。	It looks like it's going to rain any moment now.	1
amefuri de tsuki ga mienakatta ne	雨降りで月が見えなかったね。	We couldn't see the moon because of the rain.	1
orite kudasai teiin oobaa desu	降りてください、定員オーバーです。	Please get off, we are over capacity.	1
kono eki de takusan no hito ga noriori shimasu ne	この駅でたくさんの人が乗り降りしますね。	A huge number of people get on and off at this station.	1
sochira ni tsuku no ha rokuji zengo desu	そちらに着くのは6時前後です。	I will arrive there around 6 o'clock.	1
buji ie ni tsukimashita	無事、家に着きました。	I arrived home safely.	1
ie ni tsuite hotto shita yo	家に着いてほっとしたよ。	I felt relieved to be home.	1
zeikin no gaku ha nenshuu ni yotte kawarimasu	税金の額は年収によって変わります。	The amount of tax depends on the annual income.	1
okujou ni antena ga tatte imasu ne	屋上にアンテナが立っていますね。	The antenna stands on the rooftop.	1
sonnakotowoshitara、kaetteyokunaiyo。	そんなことをしたら、かえってよくないよ。	If you do something like that, it will instead have adverse results.	1
shiritsu no daigaku ha gakuhi ga takai	私立の大学は学費が高い。	Tuition for the private university is expensive.	1
gakkou de benkyou shita koto ga yakudatta	学校で勉強したことが役立った。	What I studied at school was useful.	1
watashi ha chuuritsu no tachiba wo totte imasu	私は中立の立場を取っています。	I'm taking a neutral standpoint.	1
hitobito ha tachidomatte ue wo miageta no	人々は立ち止まって上を見上げたの。	People stopped in their tracks and looked up.	1
baasudeekeeki ni rousoku wo tatemashita	バースデーケーキにろうそくを立てました。	We put candles on the birthday cake.	1
koko de ittan sutoppu shite kudasai	ここでいったんストップしてください。	Please stop here at once.	1
shitei sareta seki ni o suwari kudasai	指定された席にお座りください。	Please sit on the designated seat.	1
watashitachi ha kyakuseki ni suwatta n da	私たちは客席に座ったんだ。	We sat on the seat.	1
minasan chakuseki shite kudasai	みなさん、着席してください。	Everybody, please be seated.	1
mukai no seki ga aite imasu yo	向かいの席が空いていますよ。	The seat opposite is vacant.	1
ketten no nai ningen ha imasen	欠点のない人間はいません。	No person is without faults.	1
okiniiri no kappu ga kakete shimaimashita	お気に入りのカップが欠けてしまいました。	My favorite cup has been chipped.	1
tsugi no touki orinpikku ha 2 nengo desu	次の冬季オリンピックは2年後です。	The next Winter Olympics will be in two years.	1
denwa ga attara toritsuide kudasai	電話があったら取り次いでください。	Please transfer the phone to me if it rings.	1
sono jigyou ha kuni ga un'ei shite imasu	その事業は国が運営しています。	The project is operated by the government.	1
tetsudou no unchin ga neage sareta ne	鉄道の運賃が値上げされたね。	Train fares have gone up.	1
kono basu no unchin ha jousha suru toki ni haraimasu	このバスの運賃は乗車するときに払います。	On this bus, you pay the fare when you get on.	1
booi ni nimotsu wo hakonde moratta	ボーイに荷物を運んでもらった。	I had the porter carry the luggage.	1
untenchuu ha yosomi wo shite ha ikemasen	運転中はよそ見をしてはいけません。	Keep your eyes on the road when you're driving.	1
shunkashuutou no utsurikawari wo miru no ga daisuki desu	春夏秋冬の移り変わりを見るのが大好きです。	I love to see the seasons changing.	1
watashitachi ha rentakaa de idou shimashita	私たちはレンタカーで移動しました。	We traveled around by a rental car.	1
machi no seinentachi ha boranteia katsudou wo shite imasu	町の青年たちはボランティア活動をしています。	Young people in the town are doing volunteer work.	1
undoukai ha kuji ni kaikai shimasu	運動会は9時に開会します。	The sports festival starts at nine o'clock.	1
undoujou de sakkaa wo shiyou	運動場でサッカーをしよう。	Let's play soccer in the playing field.	1
undoujou de sakkaa wo shiyou	運動場でサッカーをしよう。	Let's play soccer in the playing field.	1
ima keizai no doukou ha yomi nikui wa	今、経済の動向は読みにくいわ。	Economic trends are difficult to read at the moment.	1
ame de undoukai ga chuushi ni natta no	雨で運動会が中止になったの。	The athletic meet has been canceled due to the rain.	1
kono kuruma no douryoku ha denki desu	この車の動力は電気です。	This car is powered by electricity.	1
doubutsu ha honnou no mama ugoku ne	動物は本能のまま動くね。	Animals act purely on instinct.	1
ningen ha risei wo motsu doubutsu desu	人間は理性を持つ動物です。	Human beings are rational animals.	1
watashi no ugoki wo manete kudasai	私の動きをまねてください。	Please imitate my movements.	1
watashi ha IT gyoukai de hataraite imasu	私はIT業界で働いています。	I'm working in the IT industry.	2
kyou ha shigoto ga hayaku agatta n da	今日は仕事が早く上がったんだ。	I finished work early today.	1
kono ko ha oboe ga hayai ne	この子は覚えが早いね。	This kid remembers things quickly.	1
hayamaranai de yoku kangaemashou	早まらないでよく考えましょう。	Let's think carefully without acting rashly.	1
tsukihi ga tatsu no ha hayai mono desu	月日が経つのは早いものです。	Time passes by quickly.	1
dekirudake hayaku kite kudasai	出来るだけ早く来てください。	Please come as soon as possible.	1
kousokubasu de toukyou ni itta n da	高速バスで東京に行ったんだ。	I went to Tokyo by the express bus.	1
kousoku douro de jiko ga kasanatta	高速道路で事故が重なった。	There was one accident after another on the highway.	1
sokutatsubin nara ashita no gozenchuu ni todokimasu	速達便なら明日の午前中に届きます。	It will arrive tomorrow morning if you send it by express mail.	1
kinou ha osoku made zangyou shimashita	昨日は遅くまで残業しました。	I worked overtime till late yesterday.	1
guzuguzu shite iru to densha ni noriokuremasu yo	ぐずぐずしていると電車に乗り遅れますよ。	You'll miss the train if you dilly-dally.	1
shoubu ha mada hajimatta bakari yo	勝負はまだ始まったばかりよ。	The match has just started.	1
shingakki ga hajimatta ne	新学期が始まったね。	A new semester has started.	1
akichi de kouji ga hajimatta	空き地で工事が始まった。	Construction started in the vacant lot.	1
kaisha no shigyoujikan ni girigiri de maniatta yo	会社の始業時間にぎりぎりで間に合ったよ。	I just made it in time for the start of work.	1
oodoori de pareedo ga hajimaru yo	大通りでパレードが始まるよ。	The parade starts in the main street.	1
akegata ni ame ga furihajimemashita ne	明け方に雨が降り始めましたね。	It began to rain at dawn.	1
kinou seiri ga hajimatta no	昨日、生理が始まったの。	My period started yesterday.	1
kyou kara shingakki ga hajimarimasu	今日から新学期が始まります。	The new semester starts today.	1
ooku no bunmei ha kawa no chikaku de hajimatta	多くの文明は川の近くで始まった。	A lot of civilizations started by a river.	1
toukyouyuki no saishuu densha ha nanji desu ka	東京行きの最終電車は何時ですか。	What time is the last train for Tokyo?	1
densha no shuuten de orimashita	電車の終点で降りました。	I got off at the terminal.	1
sono heya ha shijuu hito ga deiri shite iru ne	その部屋は始終、人が出入りしているね。	People keep going in and out of the room.	1
shuuden ni yatto maniatta	終電にやっと間に合った。	I was just in time for the last train.	1
kai ha gogo kuji ni owarimashita	会は午後9時に終わりました。	The meeting ended at 9:00 pm.	1
narubeku hayaku shigoto wo owarasete kudasai	なるべく早く仕事を終わらせてください。	Please complete your work as early as possible.	1
watashi ha buji ni yakume wo oeta yo	私は無事に役目を終えたよ。	I completed the duties without incident.	1
genchi no tenki ha ame desu	現地の天気は雨です。	The local weather is rain.	1
jiko genba ni ha hairemasen	事故現場には入れません。	You can't enter the accident scene.	1
koko ni ha genjuusho wo kaite kudasai	ここには現住所を書いてください。	Please write your current address here.	1
tonikaku genba he itte mimashou	とにかく現場へ行ってみましょう。	Anyway, let's go to the site.	1
kyou ha ryouri no jisshuu ga atta	今日は料理の実習があった。	Today we had cooking practice.	1
booru ga haya sugite uketomerare nakatta no	ボールが速過ぎて受け止められなかったの。	The ball was so fast that I couldn't catch it.	1
watashi ga konoyo ni sei wo ukete hachijuunen ga sugita wa	私がこの世に生を受けて80年が過ぎたわ。	More than 80 years have passed since I came into this world.	1
yasumi no hi ha uchi de nonbiri sugoshimasu	休みの日は家でのんびり過ごします。	I spend my days off relaxing at home.	1
kyonen no deeta wo misete kudasai 。	去年のデータを見せてください。	Please show me last year's data.	1
asu ha iyoiyo shuppatsu no hi desu	明日はいよいよ出発の日です。	At last we will set off tomorrow.	1
deha watashitachi ha sakini shuppatsu shimasu	では、私たちは先に出発します。	Right, we will set off before you.	1
shihatsu no densha ni norimashita	始発の電車に乗りました。	I took the first train.	1
watashitachi ha shuppatsu wo ichinichi okurashita no	私たちは出発を1日遅らしたの。	We delayed our departure one day.	1
atarashii kuruma ga hatsubai sareta	新しい車が発売された。	A new car was put on the market.	1
nippon ha tetsudou ga totemo hattatsu shite imasu	日本は鉄道がとても発達しています。	The railway system in Japan is well developed.	1
sugu soko ni hatsudensho ga arimasu	すぐそこに発電所があります。	There's a power plant near here.	1
juudai na happyou ga arimasu	重大な発表があります。	I have an important announcement.	1
kono kimochi wo umaku iiarawasemasen	この気持ちをうまく言い表わせません。	I can't express this feeling well.	1
ken no daihyou ha nimei desu	県の代表は2名です。	There are two representatives of the prefecture.	1
sensei ga tegami wo kudasaimashita	先生が手紙を下さいました。	The teacher gave me a letter.	1
kono youshi ni namae wo kaite kudasai	この用紙に名前を書いてください。	Please write your name on this form.	1
sono ninki aidoru ga kongetsu no hyoushi da yo	その人気アイドルが今月の表紙だよ。	The popular star is on the cover this month.	1
tesuto wo hakushi de dashita no	テストを白紙で出したの。	I handed in my test answer sheet completely blank.	1
sono e ha ikken ni atai shimasu yo	その絵は一見に値しますよ。	That painting is worth a look.	1
sono ko ha ehon ga daisuki desu	その子は絵本が大好きです。	That child loves picture books.	1
kono e ha totemo neuchi ga arimasu	この絵はとても値打ちがあります。	This painting is very valuable.	1
sono zasshi ha nen ni 4 kai hakkou sarete iru n da	その雑誌は年に4回発行されているんだ。	The magazine is issued four times a year.	1
kono supiikaa ha oto ga ii desu ne	このスピーカーは音がいいですね。	The sound of this speaker is good.	1
kono kanji no onyomi ha nan desu ka	この漢字の音読みは何ですか。	What's the Chinese-derived reading of this kanji?	1
kono tango wo hatsuon shite kudasai	この単語を発音してください。	Please pronounce this word.	1
monooto ga shita no de mi ni itta	物音がしたので見に行った。	I heard a noise so I went to look.	1
supiikaa no oto ga yakamashii na	スピーカーの音がやかましいな。	The sound coming from the speaker's too loud.	1
yotto de kuruujingu wo tanoshimimashita wa	ヨットでクルージングを楽しみましたわ。	I enjoyed cruising on the yacht.	1
kyou no ensoku ha yohodo tanoshikatta rashii	今日の遠足はよほど楽しかったらしい。	Today's excursion seems to have been really good fun.	1
kono saito de ha ongaku wo museigen de daunroodo dekiru	このサイトでは音楽を無制限でダウンロードできる。	You get unlimited music downloads on this site.	1
9 gatsu ni ha tsukimi wo tanoshimimasu	9月には月見を楽しみます。	We enjoy moon viewing in September.	1
ensoku ga tanoshimi de wakuwaku shite imasu	遠足が楽しみでわくわくしています。	I'm looking forward to the trip, so I'm really excited.	1
kusuri wo gokunto nomikonda n da	薬をごくんと飲み込んだんだ。	I swallowed the medicine in one gulp.	1
yakkyoku de megusuri wo kaimashita	薬局で目薬を買いました。	I bought some eye drops at the drugstore.	1
karaoke de omoikiri utatta no	カラオケで思い切り歌ったの。	I sang karaoke to my heart's content.	1
karaoke de omoikiri utatta no	カラオケで思い切り歌ったの。	I sang karaoke to my heart's content.	1
kyou ha shokuyoku ga arimasen	今日は食欲がありません。	I have no appetite today.	1
amari yoku wo dashi cha dame da yo	あまり欲を出しちゃだめだよ。	Don't be too greedy.	1
asoko no sankukaku ha uridashichuu desu	あそこの3区画は売り出し中です。	Those three sections are on sale.	1
kondo no uiikuendo ha eiga wo mimasu	今度のウィークエンドは映画を見ます。	I am going to watch a movie this weekend.	1
tousho no keikaku de ha motto hayaku owaru hazu deshita	当初の計画ではもっと早く終わるはずでした。	According to the initial plan, it should have finished sooner.	1
daitai hajime kara muri na keikaku datta no da	大体、初めから無理な計画だったのだ。	To be fair, it was a far-fetched plan from the beginning.	1
terebi no gamen ga akaru sugiru	テレビの画面が明るすぎる。	The TV screen is too bright.	1
minamo ni tsuki ga utsutte iru ne	水面に月が映っているね。	The moon is reflected in the surface of the water.	1
tsuki no hyoumen ni ha kureetaa ga takusan aru ne	月の表面にはクレーターがたくさんあるね。	There are a lot of craters on the surface of the moon.	1
koko ga ichiban omoshiroi bamen desu	ここがいちばん面白い場面です。	This is the most interesting place.	1
omoshiroi dekigoto ga arimashita	面白い出来事がありました。	Something interesting happened.	1
watashi no ie ha kawa ni menshite imasu	私の家は川に面しています。	My house faces the river.	1
tenisukooto no hanmen wo tsukatte shiai wo shita no	テニスコートの半面を使って試合をしたの。	We played tennis using one side of the court.	1
kono eiga ha warini omoshiroi wa	この映画は割に面白いわ。	This movie is rather interesting.	1
bakabakashii eiga da ga omoshirokatta	ばかばかしい映画だが面白かった。	It was an absurd but interesting movie.	1
shishakai no nichiji wo oshiete kudasai	試写会の日時を教えてください。	Please tell me the date of the sneak preview.	1
kono purintaa de shashin wo shutsuryoku dekimasu	このプリンターで写真を出力できます。	You can output pictures with this printer.	1
shinjitsu ha hitotsu desu	真実は一つです。	There is one truth.	1
manatsu no biiru ha oishii	真夏のビールはおいしい。	Beer is delicious in midsummer.	1
ima ha shiken no massaichuu desu	今は試験の真っ最中です。	I'm right in the middle of examinations.	1
arukooru ha mushoku desu	アルコールは無色です。	Alcohol is colorless.	1
watashi no heya ha chouhoukei desu	私の部屋は長方形です。	My room is rectangular.	1
koko ha nadaraka na chikei desu	ここはなだらかな地形です。	The landscape here features gentle slopes.	1
kogata no suutsukeesu wo kaimashita	小型のスーツケースを買いました。	I bought a small suitcase.	1
atarashii kata no kamera wo kaimashita	新しい型のカメラを買いました。	I bought a new-model camera.	1
kono kuni ni ha samazama na jinshu ga imasu	この国には様々な人種がいます。	There are many ethnic groups in this country.	1
purantaani tomato no tane wo makimashita 。	プランターにトマトの種をまきました。	I planted tomato seeds in the planter.	1
jinrui ha nihon no ashi de arukimasu	人類は2本の足で歩きます。	Humans walk on two feet.	1
deha sassoku shorui wo ookuri shimasu	では早速書類をお送りします。	I will send the documents immediately.	1
shiyakusho de shorui wo moratte kita no	市役所で書類をもらって来たの。	I got the documents at the city office.	1
shorui wo juumai kopii shimashita	書類を10枚コピーしました。	I made ten copies of the document.	1
kuyakusho ni shorui wo todokete kudasai	区役所に書類を届けてください。	Please deliver the document to the ward office.	1
korera no hon wo bunrui shite kudasai	これらの本を分類してください。	Please classify these books.	1
shorui wo yuusou shite kudasai	書類を郵送してください。	Please mail the documents.	1
hiru no teishoku ha 3 shurui arimasu	昼の定食は3種類あります。	There are three kinds of set lunches.	1
shorui ha kono fairu ni tojite kudasai	書類はこのファイルにとじてください。	Put the documents in this file.	1
tomokaku ichido kangaenaoshimashou	ともかく一度考え直しましょう。	At any rate, let's rethink this one more time.	2
shigoto ga yarinaoshi ni natta	仕事がやり直しになった。	My work had to be re-done.	1
isoi de yarinaoshimasu。	急いでやり直します。	I'll re-do it immediately.	1
kore ha watashi no chokutsuu no denwa bangou desu 。	これは私の直通の電話番号です。	This is my direct telephone number.	1
taifuu ga sekkin shite imasu ne	台風が接近していますね。	A typhoon is approaching.	1
kodomo ga doubutsu ni sessuru no ha yoi koto desu	子供が動物に接するのは良いことです。	It is good for children to have contact with animals.	1
atarashii shigoto no mensetsu ni itte kimashita	新しい仕事の面接に行ってきました。	I went to an interview for a new job.	1
untenshu ga musen de hanashite ita no	運転手が無線で話していたの。	The driver was speaking on the radio.	1
kono kakudo karaha gamen ga mie nikui desu ne	この角度からは画面が見えにくいですね。	It's difficult to see the screen from this angle.	1
nantou no hougaku ni tsuki ga mieru yo	南東の方角に月が見えるよ。	You can see the moon in the southeast.	1
machikado ni kafe ga arimashita	町角にカフェがありました。	There was a cafe on the street corner.	1
kono kyoku ha tenpo ga hayai desu ne	この曲はテンポが速いですね。	The tempo of this tune is fast.	1
koko de chokkaku ni magatte kudasai	ここで直角に曲がってください。	Please make a 90 degree turn here.	1
sono kyoku no dai wo omoidasemasen	その曲の題を思い出せません。	I can't remember the title of the tune.	1
tetsu ha nessuru to magaru n da	鉄は熱すると曲がるんだ。	Iron bends if you heat it.	1
indo de ha eigo ha kyoutsuugo da yo	インドでは英語は共通語だよ。	English is a common language in India.	1
saigo made tomoni ganbarimashou	最後まで共にがんばりましょう。	Let's try our best right to the end.	1
yoake to tomo ni me ga sameta n da	夜明けと共に目が覚めたんだ。	I awoke at daybreak.	1
nisha ga kyoudou de shinseihin wo kaihatsu shita n da	2社が共同で新製品を開発したんだ。	The two companies jointly developed a new product.	1
sansha goudou de shinsaku no happyoukai wo hirakimashita	3社合同で新作の発表会を開きました。	Three companies had a joint presentation for their new products.	1
kono hito to sono hito ha douitsu jinbutsu desu ka	この人とその人は、同一人物ですか。	Are this person and that person the same?	1
yuujin ha watashi ni doujou shite kureta yo	友人は私に同情してくれたよ。	My friend sympathized with me.	1
amerika eigo to igirisu eigo de ha akusento ga chigau koto ga aru ne	アメリカ英語とイギリス英語ではアクセントが違うことがあるね。	There can be a difference in stress between American and British English.	1
koremade no watashi to ha chigaun desu	これまでの私とは違うんです。	I am not the same as before.	1
hito ha sorezore kangaekata ga chigaimasu	人はそれぞれ考え方が違います。	People all have different ideas.	1
onaji taipu de iro no chigau mono ha arimasu ka	同じタイプで色の違うものはありますか。	Do you have the same type in a different color?	1
sumimasen hitochigai deshita	すみません、人違いでした。	I'm sorry I mistook you for someone else.	1
kono futatsu ni ha ooki na chigai ga aru	この二つには大きな違いがある。	There's a big difference between these two.	1
miiteingu no hinichi wo machigaemashita	ミーティングの日日を間違えました。	I mistook the day of the meeting.	1
yuugata ikou ni o denwa wo kudasai	夕方以降にお電話を下さい。	Please call me in the evening.	1
kore ijou zei ga agaru to seikatsu dekinai ne	これ以上税が上がると生活できないね。	If tax goes up any further, we will not be able to make a living.	1
izen seerusuman wo shite ita koto ga arimasu	以前、セールスマンをしていたことがあります。	I have worked as a salesman previously.	1
kyou ha mizu wo 2 rittoru ijou nonda wa	今日は水を2リットル以上飲んだわ。	I drank more than two liters of water today.	1
gaido tsuki no ryokou wo moushikonda no	ガイドつきの旅行を申し込んだの。	I signed up for a conducted tour.	1
gooruden'uiiku ni kaigai ryokou wo shimasu	ゴールデンウィークに海外旅行をします。	I will travel abroad during Golden Week.	1
itaria ryokou no hiyou ha 30 man'en desu	イタリア旅行の費用は30万円です。	The cost of the trip to Italy is 300,000 yen.	1
watashitachi no tabi ha hajime ha yokatta n da	私たちの旅は始めはよかったんだ。	The start of our trip was good.	1
sono bin ha gaikokujin no ryokaku ga ookatta yo	その便は外国人の旅客が多かったよ。	There were a lot of foreign travelers on that flight.	1
ryokan no choushoku ni nori ga demashita 。	旅館の朝食にのりが出ました。	Dried seaweed was served for breakfast at the inn.	1
yatto shukudai wo oeta	やっと宿題を終えた。	At last I have finished my homework.	1
ooini manabi ooini asobinasai	大いに学び、大いに遊びなさい。	Study hard, play hard.	1
itsudemo kigaru ni asobi ni kite kudasai	いつでも気軽に遊びに来て下さい。	Please feel free to stop by any time.	1
shukudai wo sumasete kara asobinasai 。	宿題を済ませてから遊びなさい。	Play after you finish doing your homework.	1
kodomotachi ga ikiikito asonde iru ne	子供たちが生き生きと遊んでいるね。	The kids are playing vigorously.	1
otona mo kodomo mo mazatte asonda no	大人も子供も交ざって遊んだの。	Adults and children played together.	1
yuushoku ni wafuu pasuta wo tsukutta yo	夕食に和風パスタを作ったよ。	I made Japanese-style pasta for supper.	1
watashi ha washoku ga suki desu	私は和食が好きです。	I like Japanese food.	1
kono kyoku wo kiku to kimochi ga yawaragimasu	この曲を聞くと気持ちが和らぎます。	When I hear this tune, I feel at ease.	1
ano uchi no toire ha washiki desu	あの家のトイレは和式です。	The toilet in that house is Japanese style.	1
watashi ha youfuu no ie ni sunde imasu	私は洋風の家に住んでいます。	I live in a Western-style house.	1
watashi ha shuu ni 3 bon youga wo mimasu	私は週に3本洋画を見ます。	I watch three foreign films a week.	1
kinou no bangohan ha youshoku deshita	昨日の晩御飯は洋食でした。	Last night's dinner was Western food.	1
watashi no gakkou ni ha seifuku ga arimasen	私の学校には制服がありません。	There is no uniform in my school.	1
kono fuku ha jouge setto de kaimashita	この服は上下セットで買いました。	I bought these clothes as a top and bottoms set.	1
kono fuku watashi ni ha yaya chiisai mitai	この服、私にはやや小さいみたい。	It looks like these clothes are a little small on me.	1
kono fuku ha anata ni pittari desu ne	この服はあなたにぴったりですね。	These clothes suit you perfectly.	1
fuku ga ame de bishobisho ni natta yo	服が雨でびしょびしょになったよ。	My clothes got soaked in the rain.	1
kono fuku ha ooki sugite dabudabu desu	この服は大き過ぎてだぶだぶです。	These clothes are too big and baggy.	1
ame no hi ha kodomo wo shitsunai de asobasemasu	雨の日は子供を室内で遊ばせます。	I have the kids play indoors on rainy days.	1
machiaishitsu ha totemo konde ita yo	待合室はとても込んでいたよ。	The waiting room was very crowded.	1
kono teeburu ha youshitsu ni awanai	このテーブルは洋室に合わない。	This table is not suited to a Western-style room.	1
mado no soto ni suiden ga hirogatte ita yo	窓の外に水田が広がっていたよ。	A sweep of rice field appeared outside the window.	1
madogarasu ni hibi ga haitta yo	窓ガラスにひびが入ったよ。	There's a crack in the window pane.	1
chichi no shujutsu ga buji ni sumimashita	父の手術が無事に済みました。	My father's operation came off without a hitch.	1
